Name,Links
youtube,https://www.youtube.com/
facebook,https://www.facebook.com/
google,https://www.google.com/
twitter,https://twitter.com/?lang=en
instagram,https://www.instagram.com/
wikipedia,https://www.wikipedia.org/
linkedin,https://www.linkedin.com/home?originalSubdomain=pk
netflix,https://www.netflix.com/pk/
